Brand,Model,Year,Odometer Reading (km),Fuel Type,Transmission Type,Color,Number of Owners,Service History,Location,Previous Accidents,Engine Capacity (L),Car Type,Insurance Type,Price (INR)
Hyundai,Elantra,2007,53266,Petrol,Automatic,Black,3,True,Delhi,False,4.3,Coupe,None,462010.1
Toyota,Corolla,2005,126939,Electric,Automatic,Grey,2,False,Mumbai,True,4.9,Sedan,None,180959.15
Mercedes,S-Class,2011,176820,Electric,Manual,White,2,True,Delhi,True,2.8,Hatchback,Comprehensive,9293477.0
Tata,Altroz,2003,106196,Diesel,Manual,Black,2,False,Mumbai,True,1.1,Hatchback,Comprehensive,50000.0
Honda,Civic,2024,189674,Electric,Manual,Blue,1,False,Mumbai,False,2.2,SUV,None,700000.0
Maruti Suzuki,Dzire,2020,101590,Petrol,Automatic,Grey,2,False,Chennai,False,3.3,Coupe,Comprehensive,384761.5
BMW,M3,2011,164361,Diesel,Automatic,Black,2,True,Chennai,True,1.5,Hatchback,Comprehensive,6745345.85
BMW,X5,2003,137445,Petrol,Automatic,Silver,3,False,Chennai,False,4.8,Coupe,Comprehensive,6879383.25
Mercedes,E-Class,2016,101852,Diesel,Manual,Black,3,False,Chennai,True,1.6,Convertible,None,5984722.2
Toyota,Innova,2009,66848,Petrol,Manual,White,1,False,Kolkata,True,2.6,Wagon,Comprehensive,769972.8
Toyota,Corolla,2012,139638,Petrol,Manual,Black,3,False,Kolkata,False,2.0,Hatchback,Comprehensive,529054.3
Mercedes,E-Class,2017,179495,CNG,Automatic,Black,2,False,Ahmedabad,False,4.8,Wagon,Third-Party,6073075.75
Ford,Endeavour,2019,147870,Diesel,Manual,Blue,1,False,Pune,False,2.5,SUV,Third-Party,2707819.5
Audi,Q5,2008,57609,Petrol,Automatic,Grey,1,False,Hyderabad,False,4.6,Wagon,Comprehensive,5171358.65
Toyota,Corolla,2003,78149,Petrol,Automatic,Red,2,False,Chennai,True,3.2,SUV,None,50000.0
BMW,3 Series,2010,85157,Diesel,Automatic,Silver,2,True,Mumbai,True,4.1,Wagon,Third-Party,3257226.45
Mercedes,S-Class,2022,169291,Diesel,Manual,Silver,2,False,Chennai,False,3.8,SUV,Comprehensive,9824606.35
Mercedes,E-Class,2015,161022,CNG,Automatic,Black,2,False,Mumbai,False,4.1,Hatchback,Comprehensive,6025846.7
Ford,Endeavour,2001,159146,CNG,Automatic,Blue,3,False,Pune,True,3.4,Sedan,None,1726128.1
Tata,Harrier,2022,82396,Petrol,Automatic,Black,1,False,Bangalore,True,1.3,Wagon,None,1567640.6
Ford,Endeavour,2023,160332,Petrol,Manual,Black,3,False,Ahmedabad,False,1.2,Hatchback,None,2875950.2
Mercedes,E-Class,2000,24111,Petrol,Manual,Silver,1,False,Ahmedabad,True,1.2,Wagon,Third-Party,5226383.35
Mercedes,E-Class,2017,140968,Electric,Manual,Grey,3,True,Chennai,False,1.9,Sedan,Comprehensive,6098854.8
Tata,Altroz,2004,6251,Electric,Automatic,Black,3,True,Delhi,False,2.5,Convertible,Third-Party,50000.0
Toyota,Corolla,2000,67412,Electric,Automatic,Blue,2,False,Hyderabad,True,3.6,Convertible,Third-Party,50000.0
Tata,Nexon,2019,170007,Petrol,Automatic,Grey,1,False,Ahmedabad,True,3.2,Coupe,Third-Party,554498.95
Nissan,Terrano,2013,11749,Diesel,Automatic,Grey,2,True,Hyderabad,False,1.9,Coupe,None,718237.65
Audi,A6,2018,22630,Electric,Automatic,Grey,1,False,Pune,False,1.2,Sedan,Comprehensive,5176605.5
Ford,EcoSport,2010,172150,Electric,Automatic,Red,3,True,Delhi,False,2.6,Sedan,None,94177.5
Ford,Fiesta,2015,171759,Diesel,Automatic,Blue,2,False,Delhi,True,4.3,Coupe,Comprehensive,74236.15
Audi,A4,2004,22487,Diesel,Manual,Blue,3,False,Ahmedabad,False,4.8,Wagon,Comprehensive,3446626.95
Tata,Nexon,2016,80668,CNG,Manual,Black,1,True,Chennai,True,3.0,SUV,Third-Party,437899.8
Honda,Jazz,2020,26633,Petrol,Automatic,White,3,True,Mumbai,False,3.1,SUV,Comprehensive,566005.05
Audi,A6,2004,64330,Diesel,Automatic,Red,1,True,Chennai,True,3.5,Sedan,Third-Party,4440350.5
Hyundai,Elantra,2007,46805,Petrol,Automatic,Black,1,False,Ahmedabad,True,1.2,Wagon,Third-Party,372979.25
Mercedes,C-Class,2010,131587,CNG,Manual,Black,1,True,Chennai,False,2.0,Sedan,Third-Party,4280261.95
Maruti Suzuki,Dzire,2004,118918,Diesel,Manual,White,1,False,Ahmedabad,False,4.9,Sedan,Third-Party,50000.0
Maruti Suzuki,Swift,2024,14612,Petrol,Manual,Silver,3,False,Ahmedabad,True,4.9,SUV,Comprehensive,497808.19999999995
Ford,Endeavour,2019,98391,Petrol,Automatic,Silver,3,True,Kolkata,True,2.4,Wagon,Third-Party,2655241.35
Honda,Civic,2006,164265,Petrol,Manual,Black,1,False,Mumbai,True,4.2,Convertible,Third-Party,50000.0
Audi,Q5,2017,169887,Petrol,Manual,Silver,2,False,Kolkata,True,1.6,Convertible,Third-Party,5524516.95
